completeObs.SEIN,completeObs.POUMON,completeObs.GYNECO,completeObs.PROSTATE,completeObs.VESSIE,completeObs.REIN,completeObs.DIGESTIF,completeObs.FOIE,completeObs.THYROIDE,completeObs.MELANOME,completeObs.TETE.ET.COU..ORL,completeObs.AUTRES,cluster
0,0,0,20,10,10,60,0,0,0,0,0,5
80,0,15,0,0,0,0,0,0,0,0,5,1
31,8,12,10,1,1,8,0,0,1,8,0,1
20,12,5,20,6,6,25,0,0,0,6,0,3
0,0,0,0,0,0,0,0,0,5,60,35,2
15,11,11,11,4,4,15,4,0,0,0,0,3
30,30,0,5,5,3,27,0,0,0,0,0,3
25,25,10,10,5,0,25,0,0,0,0,0,3
23.3401998311912,12.565013741056,8.83764162766352,15.7505905616571,4.52875674048725,4.38593284457726,12.4790209316915,1.28557747736519,0.422109860659659,2.24580374679996,7.29439641028788,3.0869832409904,3
80,1,15,1,0,0,3,0,0,0,0,0,1
39,5,3,35,1,1,5,0,1,1,5,2,3
30,15,7,15,5,5,15,2,1,0,5,0,3
32,10,5,10,5,5,20,5,2,1,5,0,4
10,0,0,45,15,15,0,0,0,0,0,15,5
50,0,20,10,10,10,0,0,0,0.949688883532896,0,0,1
60,0,30,1,0,0,9,0,0,0,0,0,1
5,0,0,15,15,20,40,5,0,0,0,0,5
5,0,0,15,15,20,40,5,0,0,0,0,5
25,10,5,25,1,1,5,1,0,2,25,0,3
10,20,5,20,5,10,10,3,2,10,5,0,4
10,13,20,15,5,7,20,3,2,2,3,0,4
25,0,10,20,10,5,0,0,0,0,5,25,3
70,15,0,0,0,0,0,0,0,0,15,0,1
25,0,0,40,0,5,0,0,0,0,15,10,3
25,5,5,45,5,0,0,0,0,0,15,0,3
10,10,5,15,5,5,25,0,0,0,25,0,3
40,0,0,10,10,10,0,0,0,0,30,0,3
0,0,0,0,0,0,0,0,0,0,0,100,2
5,20,5,10,5,2,20,8,0,0,5,20,4
15,5,30,35,0,5,5,0,5,0,0,0,4
10,10,10,14,0,4,11,0,0,0,11,0,3
50,1,20,5,5,1,1,0,0,2,10,5,1
18,25,5,5,2,0,20,0,0,0,25,0,3
50,10,10,20,0,0,10,0,0,0,0,0,1
50,10,10,20,0,0,10,0,0,0,0,0,1
0,0,0,15,0,0,0,0,0,10,60,15,2
0,5,0,20,20,20,30,5,0,0,0,0,5
30,10,20,10,0,0,20,10,0,0,0,0,4
30,25,10,20,5,3,2,0,0,0,5,0,3
20,0,20,50,0,0,0,0,0,0,10,0,3
0,15,0,5,0,0,5,0,5,0,50,20,2
10,0,2,10,5,10,60,0,0,3,0,0,4
25,10,10,20,5,5,5,5,5,5,5,0,4
25,10,10,20,5,5,5,5,5,5,5,0,4
19,19,19,19,5,0,0,0,0,0,14,0,3
0,0,20,70,0,0,0,0,0,0,0,10,3
0,10,20,20,20,30,0,0,0,0,0,0,5
0,0,0,60,20,0,20,0,0,0,0,0,5
40,0,20,10,5,5,10,0,0,0,10,0,1
19,19,5,14,1,2,9,0,0,2,24,0,3
50,0,50,0,0,0,0,0,0,0,0,0,1
18,0,18,0,0,0,0,0,0,6,18,0,1
25,35,15,5,2.8537829560307,0,20,0,0,0,0,0,3
5,5,0,20,10,20,30,0,0,0,10,0,5
7,13.5,7,11,6,4,27,0,0,0,9,5,3
10,20,5,20,5,5,15,20,0,0,0,0,4
60,0,0,15,0,10,10,0,0,0,5,0,3
0,80,5,5,5,5,0,0,0,0,0,0,3
15,10,5,25,10,10,25,0,0,0,0,0,3
9,22.5,2,18,7,7,22,0,0,2,0,0,3
